"censoringrate" "ecp" "eaea" "eaw"
"10" 0.1792 0.95 0.907260033843153 0.219119498946846
"9" 0.1911 0.98 0.912603843716719 0.221058463573019
"8" 0.1936 0.98 0.917615119066537 0.222032700132549
"7" 0.2079 0.97 0.919777480638841 0.223318199262789
"6" 0.2277 0.97 0.926855363686149 0.225698751358757
"5" 0.2442 0.98 0.931548659620326 0.227026247005989
"4" 0.2666 0.96 0.948885057807312 0.232387709715138
"3" 0.3017 0.94 0.968451979022017 0.235736844669834
"21" 0.3437 0.97 0.996111707690392 0.244267190084037
"2" 0.4091 0.95 1.04984598158071 0.2582981174919
