"censoringrate" "ecp" "eaea" "eaw"
"16" 0.0329 0.97 0.234478980612838 0.232314648138725
"15" 0.0428 0.9 0.233566302065068 0.23279634806263
"14" 0.0572 0.92 0.235546570925538 0.230905792312004
"13" 0.0776 0.96 0.234411358524684 0.229406740745302
"12" 0.1005 0.95 0.235292331802656 0.225931821050678
"11" 0.1186 0.97 0.235817263085855 0.224400998054139
"10" 0.1438 0.95 0.236520845935104 0.220624570156798
"9" 0.1649 0.96 0.237595926866629 0.217090416785057
"8" 0.1922 0.83 0.236603716938849 0.212714924475148
"7" 0.2281 0.73 0.238606766577426 0.204626103008165
"6" 0.2478 0.69 0.238335260504595 0.20211622545408
"5" 0.2774 0.54 0.238691290303824 0.195923788040075
"4" 0.3133 0.33 0.237902264227623 0.185320726183321
"3" 0.3422 0.25 0.236302293278787 0.178859863000494
"21" 0.3769 0.18 0.234368811834518 0.167835667308396
"2" 0.3956 0.23 0.229654578132491 0.164521399272542
