"censoringrate" "ecp" "eaea" "eaw"
"211" 0.0398000000000001 0.92 0.443543493995347 0.214315871361829
"20" 0.0441 0.95 0.444487548622207 0.213629260544316
"19" 0.049 0.96 0.445676580904893 0.212895985552938
"18" 0.0499 0.92 0.44731233823422 0.211691011907951
"17" 0.0524 0.9 0.441463948268002 0.212102968774268
"16" 0.0648 0.94 0.443359178775427 0.212111589536046
"15" 0.0679 0.93 0.438580335561505 0.214147713663726
"14" 0.0724 0.97 0.443320110671536 0.213782200934201
"13" 0.0828 0.94 0.440044161332584 0.211987160058784
"12" 0.0906 0.96 0.442489705686613 0.215811969771141
"11" 0.1022 0.91 0.444611203446423 0.21031025108067
"10" 0.1163 0.94 0.442787084002505 0.209373950637192
"9" 0.1286 0.89 0.44106230047162 0.206806678278804
"8" 0.1382 0.96 0.439922918516986 0.208254736449699
"7" 0.1598 0.93 0.439479593502247 0.206847046694678
"6" 0.1751 0.86 0.433569548495841 0.204566704759659
"5" 0.1945 0.87 0.441579587568605 0.203521472148155
"4" 0.2285 0.76 0.437785674946142 0.19682174055688
"3" 0.2528 0.75 0.43626192459929 0.194238241645942
"21" 0.2824 0.69 0.444446976986866 0.19369470982897
"2" 0.318 0.38 0.45183675607104 0.184765847446912
