"censoringrate" "ecp" "eaea" "eaw"
"10" 0.1792 0.97 0.905504588300142 0.212813245327336
"9" 0.1911 0.97 0.908368549160662 0.215344710551349
"8" 0.1936 0.96 0.916950524738682 0.216267833791927
"7" 0.2079 0.94 0.919743662563383 0.218239664756397
"6" 0.2277 0.96 0.932682655260199 0.221526280788932
"5" 0.2442 0.99 0.937806015737766 0.222699286768027
"4" 0.2666 0.96 0.958914411403074 0.22927796508387
"3" 0.3017 0.97 0.980770334208012 0.233327608781567
"21" 0.3437 0.98 1.01093820718751 0.243272526273503
"2" 0.4091 0.94 1.07756738288019 0.258802359330969
