"censoringrate" "ecp" "eaea" "eaw"
"16" 0.0329 0.97 0.234816513973115 0.229574948527938
"15" 0.0428 0.98 0.23692207456894 0.232170319735532
"14" 0.0572 0.92 0.236373149808066 0.228410229808714
"13" 0.0776 0.97 0.237068949621604 0.227836781316012
"12" 0.1005 0.95 0.237212848223667 0.223889789692529
"11" 0.1186 0.96 0.237501569896788 0.22247350410068
"10" 0.1438 0.87 0.23641303675905 0.218486908242075
"9" 0.1649 0.84 0.237892604994667 0.214675153226279
"8" 0.1922 0.72 0.237492905213533 0.211559868837226
"7" 0.2281 0.58 0.238374146208689 0.202777995937935
"6" 0.2478 0.52 0.23866250917727 0.2016276323703
"5" 0.2774 0.42 0.239212205042266 0.196468041493937
"4" 0.3133 0.2 0.239595487542904 0.187167494644487
"3" 0.3422 0.18 0.235184100168028 0.18069249268347
"21" 0.3769 0.14 0.230631441737169 0.170083718025455
"2" 0.3956 0.17 0.227506152643061 0.167932634792513
