"censoringrate" "ecp" "eaea" "eaw"
"10" 0.1792 0.95 0.963956386926878 0.218604304797096
"9" 0.1911 0.93 0.954073101739621 0.220970149396578
"8" 0.1936 0.95 0.975395804718128 0.222559296680251
"7" 0.2079 0.95 0.965099016887155 0.223665193238245
"6" 0.2277 0.96 1.0004609880927 0.228649832707757
"5" 0.2442 0.96 0.976862700907576 0.227312360203673
"4" 0.2666 0.94 1.00753784594334 0.235212329451891
"3" 0.3017 0.93 1.01623245273415 0.23706304085738
"21" 0.3437 0.96 1.03798337331022 0.246663188489099
"2" 0.4091 0.96 1.10670070371241 0.262033021661722
