"censoringrate" "ecp" "eaea" "eaw"
"211" 0.0398000000000001 0.96 0.488439089478571 0.225826603017186
"20" 0.0441 0.95 0.490028600888613 0.225541252351349
"19" 0.049 0.98 0.493041826551074 0.224523087237351
"18" 0.0499 0.95 0.492986216942835 0.223052603072764
"17" 0.0524 0.93 0.490960274995029 0.225420268937871
"16" 0.0648 0.98 0.496573439108024 0.226256386906228
"15" 0.0679 0.93 0.495234764535662 0.229798829369675
"14" 0.0724 0.96 0.500539509929928 0.229016437774904
"13" 0.0828 0.98 0.504519610592725 0.230131109189477
"12" 0.0906 1 0.50181908540017 0.230198832360447
"11" 0.1022 0.96 0.515005837636952 0.23054403695652
"10" 0.1163 0.95 0.519747330801168 0.232286973383045
"9" 0.1286 0.96 0.523030720200594 0.232601815111248
"8" 0.1382 0.99 0.525440170695197 0.235605012678636
"7" 0.1598 0.97 0.534871926060408 0.238828131626638
"6" 0.1751 0.94 0.534946317736095 0.240839564902113
"5" 0.1945 0.97 0.548941762591973 0.244408135304654
"4" 0.2285 0.97 0.565296479724951 0.248252575349341
"3" 0.2528 0.98 0.57342669356972 0.254670046742255
"21" 0.2824 0.96 0.597606979976144 0.262853555401425
"2" 0.318 0.95 0.618482230137855 0.267871293722203
