"censoringrate" "ecp" "eaea" "eaw"
"16" 0.0329 0.94 0.214416323982333 0.213675185987623
"15" 0.0428 0.94 0.216626098601426 0.217009877254413
"14" 0.0572 0.92 0.215769679917707 0.214552176802183
"13" 0.0776 0.94 0.216131232198545 0.215941955590192
"12" 0.1005 0.93 0.2162234152042 0.215756179622595
"11" 0.1186 0.96 0.215162219673489 0.215318362220636
"10" 0.1438 0.91 0.214772616554627 0.214308375193532
"9" 0.1649 0.97 0.215147189259491 0.214393257526883
"8" 0.1922 0.96 0.213891422402849 0.213825371653535
"7" 0.2281 0.95 0.214120617815503 0.21144366808621
"6" 0.2478 0.94 0.216283881487564 0.215912036965832
"5" 0.2774 0.95 0.214578951988198 0.214350348591241
"4" 0.3133 0.94 0.214642342921605 0.214160960612539
"3" 0.3422 0.91 0.214766560632226 0.214454173196607
"21" 0.3769 0.96 0.215169954764455 0.214219341354822
"2" 0.3956 0.91 0.214090257275222 0.215794872070863
