"censoringrate" "ecp" "eaea" "eaw"
"211" 0.0398000000000001 0.94 0.448622030488429 0.210979421252322
"20" 0.0441 0.95 0.449378266149561 0.210187102252974
"19" 0.049 0.96 0.451233618741232 0.209622767582063
"18" 0.0499 0.93 0.452494433998406 0.208757154723493
"17" 0.0524 0.94 0.446553442981348 0.208888945463512
"16" 0.0648 0.96 0.448179815499012 0.209068646904929
"15" 0.0679 0.92 0.443001338839082 0.210691813743934
"14" 0.0724 0.93 0.448368381581317 0.210698212372495
"13" 0.0828 0.95 0.445369785393455 0.209156365242821
"12" 0.0906 1 0.447879766159689 0.212423926890795
"11" 0.1022 0.93 0.450293373947288 0.208129377230813
"10" 0.1163 0.96 0.448711510346213 0.20722590295257
"9" 0.1286 0.96 0.447732761762992 0.205105398650777
"8" 0.1382 0.98 0.446408487744884 0.206575640084422
"7" 0.1598 0.97 0.446711943513768 0.205656130477603
"6" 0.1751 0.89 0.440766980213131 0.203583706045975
"5" 0.1945 0.94 0.449695292861112 0.203052387742478
"4" 0.2285 0.87 0.446254096065992 0.197438118886836
"3" 0.2528 0.9 0.445125178928043 0.195048748117848
"21" 0.2824 0.88 0.453838171411823 0.194951641770987
"2" 0.318 0.72 0.461863550012625 0.186538517367818
