"censoringrate" "ecp" "eaea" "eaw"
"10" 0.1792 0.94 0.882468364080369 0.201001824388398
"9" 0.1911 0.92 0.874251949268458 0.202269265127634
"8" 0.1936 0.94 0.892146373793366 0.204045616771416
"7" 0.2079 0.93 0.871249437732374 0.202568722999077
"6" 0.2277 0.92 0.899125783465355 0.206638553317257
"5" 0.2442 0.94 0.878781707795378 0.205401927750265
"4" 0.2666 0.96 0.900498528152146 0.20985957388146
"3" 0.3017 0.92 0.904019396904468 0.210705769986058
"21" 0.3437 0.99 0.917914054497042 0.216992557993908
"2" 0.4091 0.93 0.99946286226394 0.235365580341031
